THUMB, INDEX, MIDDLE, RING, LITTLE, LABEL
180,4,180,180,180,1
178,2,180,180,180,1
180,16,180,180,180,1
180,19,180,180,180,1
172,0,180,180,180,1
166,7,180,180,180,1
180,18,180,180,180,1
180,10,180,180,180,1
180,7,180,180,180,1
180,14,180,180,180,1
176,11,180,180,180,1
180,3,180,180,180,1
174,10,180,180,180,1
180,4,180,180,180,1
170,3,180,180,180,1
180,14,180,180,180,1
180,11,180,180,180,1
180,10,180,180,180,1
180,3,180,180,180,1
180,3,180,180,180,1
180,0,180,180,180,1
180,0,180,180,180,1
180,13,180,180,180,1
180,10,180,180,180,1
180,4,180,180,180,1
180,9,180,180,180,1
180,9,180,180,180,1
178,4,180,180,180,1
180,1,180,180,180,1
180,7,180,180,180,1
180,4,180,180,180,1
180,17,180,180,180,1
180,0,180,180,180,1
180,7,180,180,180,1
180,7,180,180,180,1
180,13,180,180,180,1
180,11,180,180,180,1
180,8,180,180,180,1
180,11,180,180,180,1
180,7,180,180,180,1
180,1,180,180,180,1
180,6,180,180,180,1
178,7,180,180,180,1
180,2,180,180,180,1
180,14,180,180,180,1
180,0,180,180,180,1
180,0,180,180,180,1
180,6,180,180,180,1
180,12,180,180,180,1
180,17,180,180,180,1
180,14,180,180,180,1
180,2,180,180,180,1
180,22,180,180,180,1
180,17,180,180,180,1
180,11,180,180,180,1
180,9,180,180,180,1
180,18,180,180,180,1
180,14,180,180,180,1
180,13,180,180,180,1
180,20,180,180,180,1
180,9,180,180,180,1
180,14,180,180,180,1
180,7,180,180,180,1
180,2,180,180,180,1
180,17,180,180,180,1
180,18,180,180,180,1
180,12,180,180,180,1
180,11,180,180,180,1
180,4,180,180,180,1
180,8,180,180,180,1
180,20,180,180,180,1
180,11,180,180,180,1
180,23,180,180,180,1
180,21,180,180,180,1
180,4,180,180,180,1
180,20,180,180,180,1
180,12,180,180,180,1
180,0,180,180,180,1
180,11,180,180,180,1
180,18,180,180,180,1
180,0,180,180,180,1
180,0,180,180,180,1
180,17,180,180,180,1
180,14,180,180,180,1
180,7,180,180,180,1
180,14,180,180,180,1
180,9,180,180,180,1
180,5,180,180,180,1
180,10,180,180,180,1
180,14,180,180,180,1
180,16,180,180,180,1
180,10,180,180,180,1
180,14,180,180,180,1
180,9,180,180,180,1
180,11,180,180,180,1
180,9,180,180,180,1
180,9,180,180,180,1
180,18,180,180,180,1
180,3,180,180,180,1
180,0,180,180,180,1
166,21,178,180,180,1
161,10,165,180,180,1
159,1,180,180,180,1
166,0,168,180,180,1
153,4,180,180,180,1
169,19,177,180,180,1
177,2,180,180,180,1
165,20,180,180,180,1
170,12,180,180,180,1
154,11,173,180,180,1
156,10,176,180,180,1
170,11,180,180,180,1
149,3,180,180,180,1
157,11,180,180,180,1
161,21,178,180,180,1
158,12,180,180,180,1
136,0,176,180,180,1
163,0,180,180,180,1
171,0,167,180,180,1
143,10,180,180,180,1
163,0,180,180,180,1
176,4,172,180,180,1
160,7,172,180,180,1
168,0,179,180,180,1
167,2,180,180,180,1
140,15,169,180,180,1
164,18,180,180,180,1
148,14,180,180,180,1
153,0,174,180,180,1
156,3,180,180,180,1
142,0,172,180,180,1
158,5,178,180,180,1
147,8,166,180,180,1
150,3,176,180,180,1
180,8,165,180,180,1
164,4,179,180,180,1
148,7,180,180,180,1
168,7,180,180,180,1
173,12,180,180,180,1
163,0,173,180,180,1
168,4,180,180,180,1
156,10,180,180,180,1
159,0,180,180,180,1
164,12,180,180,180,1
152,0,180,180,180,1
180,9,180,180,180,1
152,4,180,180,180,1
155,3,180,180,180,1
160,16,170,180,180,1
159,0,172,180,180,1
153,13,169,180,180,1
159,0,168,180,180,1
153,8,180,180,180,1
157,6,167,180,180,1
170,1,180,180,180,1
180,4,177,180,180,1
163,1,180,180,180,1
148,5,164,180,180,1
148,4,177,180,180,1
166,17,171,180,180,1
132,9,179,180,180,1
139,7,180,180,180,1
148,0,172,180,180,1
166,8,180,180,180,1
165,0,166,180,180,1
163,19,178,180,180,1
170,0,180,180,180,1
163,18,180,180,180,1
163,10,180,180,180,1
160,0,180,180,180,1
163,0,174,180,180,1
144,11,180,180,180,1
150,3,180,180,180,1
172,6,180,180,180,1
152,17,180,180,180,1
153,0,169,180,180,1
165,21,177,180,180,1
166,10,180,180,180,1
156,9,180,180,180,1
167,0,172,180,180,1
156,7,180,180,180,1
162,2,172,180,180,1
154,0,170,180,180,1
157,11,180,180,180,1
152,4,174,180,180,1
151,3,176,180,180,1
174,4,180,180,180,1
161,7,180,180,180,1
159,0,180,180,180,1
160,0,168,180,180,1
165,8,180,180,180,1
167,0,168,180,180,1
155,3,180,180,180,1
150,4,176,180,180,1
166,0,180,180,180,1
160,0,180,180,180,1
148,2,176,180,180,1
149,9,178,180,180,1
153,9,177,180,180,1
164,0,180,180,180,1
154,0,180,180,180,1
124,0,166,180,180,1
156,7,180,180,180,1
143,3,176,180,180,1
148,4,176,180,180,1
142,0,180,180,180,1
142,2,180,180,180,1
156,0,177,180,180,1
141,0,172,180,180,1
152,14,168,180,180,1
157,9,178,180,180,1
150,2,175,180,180,1
166,0,175,180,180,1
165,4,175,180,180,1
136,2,180,180,180,1
129,10,179,180,180,1
156,3,174,180,180,1
146,5,169,180,180,1
149,10,180,180,180,1
133,2,174,180,180,1
141,3,161,180,180,1
148,0,168,180,180,1
144,8,166,180,180,1
144,3,168,180,180,1
135,2,175,180,180,1
155,5,166,180,180,1
131,14,162,180,180,1
132,3,170,180,180,1
152,0,165,180,180,1
163,14,180,180,180,1
149,0,180,180,180,1
152,8,180,180,180,1
146,2,165,180,180,1
162,7,172,180,180,1
140,11,180,180,180,1
142,9,172,180,180,1
147,10,171,180,180,1
125,4,158,180,180,1
148,0,180,180,180,1
143,2,180,180,180,1
156,0,180,180,180,1
145,14,179,180,180,1
125,0,177,180,180,1
158,10,165,180,180,1
154,5,168,180,180,1
132,0,176,180,180,1
165,0,177,180,180,1
120,6,175,180,180,1
152,0,180,180,180,1
156,0,180,180,180,1
144,2,174,180,180,1
134,2,172,180,180,1
156,9,180,180,180,1
159,4,180,180,180,1
162,0,175,180,180,1
142,11,180,180,180,1
141,0,180,144,180,1
150,5,171,180,180,1
149,0,180,180,180,1
151,3,175,180,180,1
141,2,156,180,180,1
149,7,179,180,180,1
141,4,167,180,180,1
140,0,167,180,180,1
131,0,180,180,180,1
140,3,172,180,180,1
149,0,180,180,180,1
132,4,165,180,180,1
164,8,180,180,180,1
145,1,180,180,180,1
151,0,179,180,180,1
141,0,180,180,180,1
136,0,166,180,180,1
142,2,176,180,180,1
158,0,164,180,180,1
153,4,180,180,180,1
151,0,169,180,180,1
121,5,180,180,180,1
156,2,170,180,180,1
132,0,172,180,180,1
145,1,172,180,180,1
141,0,165,180,180,1
134,5,172,180,180,1
148,0,180,180,180,1
147,0,178,180,180,1
145,5,175,180,180,1
149,3,171,180,180,1
152,4,177,180,180,1
140,2,164,180,180,1
146,0,168,180,180,1
169,0,180,180,180,1
130,0,180,180,180,1
132,17,180,180,180,1
169,12,165,180,180,1
134,4,180,180,180,1
146,0,180,180,180,1
153,3,180,180,180,1
140,10,180,180,180,1
151,8,172,180,180,1
146,0,179,180,180,1
171,0,175,180,180,1
172,0,180,180,180,1
149,2,180,180,180,1
164,0,176,180,180,1
156,0,165,180,180,1
162,3,173,180,180,1
156,0,170,180,180,1
153,0,180,180,180,1
159,0,180,180,180,1
157,9,175,180,180,1
156,0,180,180,180,1
166,4,179,180,180,1
162,0,178,180,180,1
151,0,180,180,180,1
136,4,176,180,180,1
165,0,180,180,180,1
161,0,179,180,180,1
173,0,180,180,180,1
168,0,179,180,180,1
162,0,180,180,180,1
162,0,180,180,180,1
154,0,180,180,180,1
149,0,173,180,180,1
146,0,180,180,180,1
157,8,180,180,180,1
140,0,180,180,180,1
160,0,172,180,180,1
144,5,180,180,180,1
165,0,172,180,180,1
132,0,171,180,180,1
158,0,178,180,180,1
152,0,180,180,180,1
149,0,180,180,180,1
156,0,180,180,180,1
172,6,180,180,180,1
159,0,180,180,180,1
162,0,177,180,180,1
145,0,171,180,180,1
152,0,174,180,180,1
156,0,165,180,180,1
153,3,169,180,180,1
163,0,180,180,180,1
174,0,177,180,180,1
157,6,180,180,180,1
146,0,176,180,180,1
144,0,178,180,180,1
153,0,178,180,180,1
180,0,180,180,180,1
145,1,177,180,180,1
141,10,180,180,180,1
149,2,180,180,180,1
145,0,180,180,180,1
157,0,169,180,180,1
132,0,180,180,180,1
143,1,173,180,180,1
145,0,166,180,180,1
152,0,180,180,180,1
169,2,169,180,180,1
157,0,180,180,180,1
148,0,180,180,180,1
149,0,180,180,180,1
166,2,175,180,180,1
146,0,180,180,180,1
149,5,180,180,180,1
157,0,179,180,180,1
158,4,180,180,180,1
169,1,180,180,180,1
158,0,171,180,180,1
157,0,173,180,180,1
146,1,180,180,180,1
125,0,180,180,180,1
153,0,180,180,180,1
135,0,171,180,180,1
141,0,180,180,180,1
141,0,172,180,180,1
155,0,172,180,180,1
158,7,165,180,180,1
157,0,180,180,180,1
154,0,176,180,180,1
148,0,180,180,180,1
144,0,171,180,180,1
157,0,180,180,180,1
147,0,176,180,180,1
149,0,171,180,180,1
155,0,169,180,180,1
162,0,177,180,180,1
136,0,178,180,180,1
142,0,174,180,180,1
132,0,176,180,180,1
148,7,180,180,180,1
139,0,166,180,180,1
157,0,166,180,180,1
152,0,176,180,180,1
129,0,172,180,180,1
146,7,171,180,180,1
144,0,180,180,180,1
170,0,180,180,180,1
147,0,165,180,180,1
128,2,172,180,180,1
158,0,164,180,180,1
148,8,180,180,180,1
146,4,180,180,180,1
132,0,180,180,180,1
160,0,169,180,180,1
127,1,176,180,180,1
142,0,170,180,180,1
132,9,180,180,180,1
133,5,180,180,180,1
136,4,173,180,180,1
156,16,178,180,180,1
136,0,176,180,180,1
149,18,180,180,180,1
128,4,180,180,180,1
140,2,172,180,180,1
141,8,175,180,180,1
150,13,180,180,180,1
149,10,169,180,180,1
163,0,180,180,180,1
155,10,180,180,180,1
155,9,168,141,180,1
136,15,180,180,180,1
133,11,180,180,180,1
135,8,165,180,180,1
139,5,180,180,180,1
160,3,175,180,180,1
146,14,176,180,180,1
134,14,179,180,180,1
142,0,179,180,180,1
122,18,165,174,180,1
146,1,180,180,180,1
140,6,180,180,180,1
133,12,180,180,180,1
131,0,174,180,180,1
149,17,179,180,180,1
134,11,175,180,180,1
134,14,171,180,180,1
146,0,164,180,180,1
124,2,175,180,180,1
140,7,165,180,180,1
141,2,180,180,180,1
132,2,176,180,180,1
